6=☆Steel Falchion
11=☆I-Beam Sledgehammer
12=☆Folded Iron Falchion
19=☆Bronze Sword
20=☆Tempered Iron Sword
21=☆Refined Sword
22=☆Nature's Blade
28=☆Wraithnob Falchion
29=☆Battle Falchion
36=☆Mother and Son Blades
37=☆Inamorato Dual Sword
39=☆Linked Blades
40=☆Yin and Yang
41=☆Kan and Li
47=☆Willow Leaf Blades
48=☆Butterfly Blades
49=☆Coalition Blades
50=☆Ringchain Blades
57=☆Steel Spear
58=☆Giant Spear
59=☆Silver Spear
60=☆Viper Spear
67=☆Worn Glaive
68=☆Leaf Cutter
69=☆Chopping Scythe
70=☆Steedslayer Scythe
74=☆Silver Carp Scythe
77=Staff
78=Uniglabella Staff
79=DracoEntwine Staves
80=NineAuris Stannic Staff
81=Demonic Insanity Staff
87=☆Bramble club
88=☆Spiked club
89=☆Copper Head Club
90=☆Goosetail Mace
100=☆Stone Hand Axes
101=☆Short Handled Hand Axes
102=☆Broad Bladed Hand Axes
103=☆Gold Plated Handaxes
109=☆Lithic Poleaxe
110=☆Bronze Poleaxe
111=☆Floral Poleaxe
112=☆Giant Poleaxe
115=☆Bucktooth Poleaxe
119=☆Rock Hammer
120=☆Smithy's Hammer
121=☆Silver Hammer
123=☆Crescent Moon Scythe
124=☆Phoenix Beak Scythe
126=Massacre Drifting Staves
128=☆Guardian Corselet
129=☆Springsource Spear
130=☆Furnace Spear
131=☆Spirit Breaker
132=☆Rapacious Mace
133=☆Blessed Chain Hauberk
134=☆Mithril Plate
135=☆Golden Crest of the Rose
136=☆Pisces' Tail Handaxes
137=☆Purgatorian Enforcer Mail
138=☆Master's Handaxes
139=☆Stoneblood Coat of Plates
141=☆Leather Armor
142=☆Deerskin Vest
143=☆Earth Splitter
144=☆Dark Prison Poleaxe
145=☆Ring Mail
146=☆Armor of Dawn
147=☆Frost Sword
148=☆Sword of Loyalty
149=☆Lion Heart War Armor
151=☆Harmony Blades
152=☆Glowing War Vest
154=☆Meditator's Robe
155=☆Charmed Robe
156=☆Devastator Falchion
157=☆Necromancy Robe
158=☆Juggernaut Falchion
159=☆Mystique Robe
160=☆Sunsprite's Warmth
161=☆Wraith Robe
162=☆Meridian Blades
164=☆Sawtooth Blades
165=☆Guardian Leggings
166=☆Blessed Chain Pantaloons
167=☆Mithril Leggings
168=☆Golden Shins of the Rose
169=☆Purgatorian Enforcer Pants
170=☆Stoneblood Cuisse
173=☆Gold-plated Hammer
174=☆White Deluge
175=☆Farrier's Hammer
176=☆Flare Hammer
177=☆Rock Breaker
178=☆Octagonal Sledgehammer
179=☆Tilecrushing Sledgehammer
180=☆Ice Breaker
181=☆Bloodfang Sledgehammer
185=☆Leather Fist
186=☆Copper Fist
187=☆Steel Fist
189=☆Dark Steel Fist
190=☆Blazing Fist
191=☆Leather Pants
192=☆Rock Smashing Fist
193=☆Deerskin Pants
194=☆Ring Kneepads
195=☆Ocelot Claw
196=☆Kneepads of Dawn
197=☆Iron Claw
198=☆Lion Heart Kneepads
199=☆Concealed Claw
200=☆Glowing Cuisses
201=☆Silver Claw
204=☆Meditator's Trousers
205=☆Charmed Pants
206=☆Throat Slitter
207=☆Necromancy Pants
208=☆Mystique Pants
211=☆Sunsprite's Rays
212=☆Bamboo Bow
213=☆Wraith Pants
214=☆Marksman's Bow
215=☆Sparrowhawk Bow
220=☆Padded Iron Bow
221=☆Guardian Boots
222=☆Blessed Chain Waders
223=☆Lightning Bow
224=☆Ornamented Bow
225=☆Mithril Greaves
226=☆Golden Greaves of the Rose
227=☆Purgatorian Enforcer Boots
228=☆Stone Pellet
229=☆Iron Pellet
230=☆Stoneblood Sabatons
231=☆Birdshot
232=☆Sparrowshot
233=☆Bullfiber Pellet
237=☆Leather Boots
238=☆Deerskin Boots
239=☆Ring Boots
240=☆Boots of Dawn
242=☆Lion Heart Boots
246=☆Eaglehorn Shot
249=☆Glowing Boots
251=☆Delicate Emerald Beads
252=☆Meditator's Boots
253=☆Green Thread Necklace
254=☆Blinded Gaze
255=☆Bronze Crossbow
256=☆Viridian Strand
257=☆Charmed Boots
258=☆Enchanted Blossom
259=☆Beast Bone Necklace
260=☆Cruciform Crossbow
261=☆Bison Horn Necklace
262=☆Wolf Fang Necklace
263=☆Tiger Bone Necklace
264=☆Necromancy Boots
265=☆Rhino Horn Necklace
266=☆Dragon Scale Necklace
267=☆Necklace of Shadow's Cover
268=☆Necklace of Aether Seclusion
269=☆Swiftshot Crossbow
270=☆Necklace of Lost Roads
271=☆Necklace of Natural Beauty
272=☆Necklace of Truth
273=☆Mystique Boots
274=☆Chain of Cloudy Dreams
275=☆Doublestrike Crossbow
279=☆Sunsprite's Mark
282=☆Giant Crossbow
283=☆Wraith Boots
284=☆Swallow's Stone
285=☆Cloud Parting Crossbow
286=☆Green Pine Pendant
287=☆Rainflower Pendant
288=☆Bloodstone
289=☆Alabaster Pendant
290=☆Wavewatcher Pendant
301=☆Bison Horn Ring
302=☆Cat's Eye Ring
303=☆Rhino Horn Ring
304=☆Ivory Ring
305=☆Fleeting Rainbow Ring
306=☆Poltergeist Ring
307=☆Pearl Ring
308=☆Agate Ring
309=☆Emerald Ring
310=☆Diamond Ring
311=☆Ring of Iridescent Skies
312=☆Ring of Magical Skies
313=Whip
314=Thorny Whip
315=Scolopendra Whip
319=☆Bronze Helmet
320=Scorpio Cauda Whip
321=ViridSilk FlexWhip
322=☆Tiger Helmet
323=Lingering FlexWhip
324=☆Charging Helmet
325=☆Helm of the Elements
326=☆Illuminary Helmet
327=Long Whip
328=☆Helm of Bael
329=CrimsonSmelt Whip
330=Ox Pilose Whip
331=Python Osteal Whip
332=EtherSilk NodeWhip
333=☆Cloth Hat
334=PassionTread NodeWhip
335=☆Silk Hat
337=☆Hat of Ice Silk
341=☆Hat of Feather and Scale
342=☆Frostconjurer Hat
343=☆Peachtree Sword
344=☆Yeti Scalp
345=☆Pinegrain Sword
348=☆Guardian Wristwraps
349=☆Ursa Major Sword
350=☆Blessed Chain Cuffs
351=☆Mithril Vambraces
352=☆Taoist Master's Sword
353=☆Golden Bracers of the Rose
354=☆Purgatorian Enforcer Arms
355=☆Stoneblood Bazubands
357=☆Raybender Sword
358=☆Meditator's Sleeves
359=☆Charmed Sleeves
360=☆Dharma Sword
361=☆Wooden Wand
362=☆Necromancy Sleeves
363=☆Mystique Sleeves
364=☆Bone Wand
365=☆Sunsprite's Kiss
366=☆Wraith Sleeves
367=☆Jade Wand
368=☆Ghost Wand
371=☆Guardian Cape
372=☆Cloak of Clover
373=☆Spiritmeeting Wand
374=☆Dignified Cape
375=☆Spiritcooler Wand
376=☆Mirage Cape
377=☆Cloak of Blaze
378=☆Shadow Walker Cape
380=☆Buddha's Pestle
381=☆Weituo's Pestle
