//物品id 喊话id 显示参数(2:显示玩家名和物品名；1：显示玩家名；0：都不显示)；  如果出现同一物品id对应不同的喊话id，程序中将只取靠后的那个喊话id
11599	4521	2
11600	4522	2
12227	4523	1
12265	4524	1
12264	4525	1
12266	4526	1
12769	4527	1
12719	4528	1
12646	4529	2
12647	4529	2
12648	4529	2
12649	4529	2
12650	4529	2
12651	4529	2
13548	4648	0
13565	4665	0
13566	4666	0
13567	4667	0
13568	4668	0
13569	4669	0
13570	4670	0
13571	4671	0
13572	4672	0
13573	4673	0
13574	4674	0
13575	4675	0
13576	4676	0
13577	4677	0
13578	4678	0
13579	4679	0
13580	4680	0
13581	4681	0
13582	4682	0
13583	4683	0
13584	4684	0
13585	4685	0
13586	4686	0
13587	4687	0
13588	4688	0
13589	4689	0
13590	4690	0
13591	4691	0
13592	4692	0
13593	4693	0
13594	4694	0
13595	4695	0
13596	4696	0
13597	4697	0
13598	4698	0
13599	4699	0
13600	4700	0
14290	4532	1
20853	4533	1
20255	4534	1
20289	4535	1
21065	4536	1
20311	4537	1
20852	4538	1
20218	4539	1
20402	4540	1
20851	4541	1
20394	4542	1
20363	4543	1
26061	4544	1
26053	4545	1
28607	4546	1
29453	4547	1
30207	4548	1
